--------------------
BDMEP - INMET
--------------------
Estação           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Estação Operante
Inicio de operação: 02/02/1912
Periodo solicitado dos dados: 01/01/1961 a 19/09/2012
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoInsolacao;
83912;15/02/1961;0000;;24;18;30;;54;960.7;14;3;;
83912;15/02/1961;1200;0;20.4;16.4;;16.2;65;964.7;5;5;;
83912;15/02/1961;1800;;29;20.6;;;45;962.4;5;5;;
83912;16/02/1961;0000;;25.8;19;29.6;;51;962.4;0;0;;
83912;16/02/1961;1200;0;19;15.8;;15.2;71;963.4;5;5;;
83912;16/02/1961;1800;;28.6;20.6;;;47;961.1;14;3;;
83912;17/02/1961;0000;;25.6;19.6;30.2;;56;959.4;5;1;;
83912;17/02/1961;1200;0;22.8;18.4;;17.4;64;961;5;5;;
83912;17/02/1961;1800;;30;22.2;;;49;956.2;32;1;;
83912;18/02/1961;0000;;24.6;20;31.8;;65;959;0;0;;
83912;18/02/1961;1200;0;23.4;19.4;;19.2;68;959.8;5;3;;
83912;18/02/1961;1800;;30;22.2;;;49;956.2;32;1;;
83912;19/02/1961;0000;;22.2;19.8;29.8;;79;957.6;0;0;;
83912;19/02/1961;1200;0;24.8;20.6;;18.2;68;957.1;5;1;;
83912;19/02/1961;1800;;25.6;21.8;;;71;955.5;0;0;;
83912;20/02/1961;0000;;24;21;31.4;;75;955.6;0;0;;
83912;20/02/1961;1200;4.4;23.6;21;;19;78;955.8;5;1;;
83912;20/02/1961;1800;;30.8;22.6;;;48;953.5;32;3;;
83912;21/02/1961;0000;;25.8;21;33;;64;953.5;0;0;;
83912;21/02/1961;1200;0;24.8;21.4;;20.8;72;956.3;5;1;;
83912;21/02/1961;1800;;31.2;23.2;;;49;953.4;32;3;;
83912;22/02/1961;0000;;29.8;22;30.8;;49;953.9;0;0;;
83912;22/02/1961;1200;18.5;24.4;21.6;;21.2;77;956.8;5;3;;
83912;22/02/1961;1800;;29.6;23.4;;;58;954.7;32;3;;
83912;23/02/1961;0000;;24;20;28.6;;69;956.7;14;3;;
83912;23/02/1961;1200;0;20.4;19;;18.2;87;958.4;14;7;;
83912;23/02/1961;1800;;28.4;22.2;;;57;956.8;14;3;;
83912;24/02/1961;0000;;24.8;21;31.6;;70;956.8;14;5;;
83912;24/02/1961;1200;0;22.4;20.6;;19.4;85;957.1;14;3;;
83912;24/02/1961;1800;;30.6;23;;;51;954.8;5;3;;
83912;25/02/1961;0000;;27;21.4;32.2;;59;953.5;0;0;;
83912;25/02/1961;1200;0;25.4;22.2;;21;75;954.3;5;1;;
83912;25/02/1961;1800;;31.8;23.8;;;50;952.4;32;3;;
83912;26/02/1961;0000;;27.6;24;27.6;;73;952.7;0;0;;
83912;26/02/1961;1200;6;20.4;19.6;;19;92;957.6;14;3;;
83912;26/02/1961;1800;;20.8;20;;;93;955.5;5;1;;
83912;27/02/1961;0000;;19;18.6;22.6;;96;957;32;2;;
83912;27/02/1961;1200;22.2;18.2;16.6;;16.4;84;961.4;14;5;;
83912;27/02/1961;1800;;21.2;18.2;;;75;961.2;14;5;;
83912;28/02/1961;0000;;18.6;16.4;27.4;;79;962.7;14;5;;
83912;28/02/1961;1200;0;18.2;15.2;;13.6;72;962.3;14;5;;
83912;28/02/1961;1800;;26.6;19.4;;;49;960;5;3;;
83912;01/03/1961;0000;;22;18;26.2;;67;960;14;3;;
83912;01/03/1961;1200;0;19.8;17.6;;16;80;962.2;5;1;;
83912;01/03/1961;1800;;25.2;21;;;68;959.8;32;3;;
83912;02/03/1961;0000;;23.6;20.8;31.2;;76;958.6;0;0;;
83912;02/03/1961;1200;0;21.8;19.4;;18.4;79;960;5;3;;
83912;02/03/1961;1800;;31;22.8;;;48;957.8;32;5;;
83912;03/03/1961;0000;;27.4;21.6;32;;59;957.1;0;0;;
83912;03/03/1961;1200;0;23.2;19.8;;19.4;72;958.6;5;5;;
83912;03/03/1961;1800;;31.2;23.6;;;52;955.5;32;3;;
83912;04/03/1961;0000;;27;22;29.4;;64;955.5;0;0;;
83912;04/03/1961;1200;0;23.2;20.8;;19.4;79;957.1;5;1;;
83912;04/03/1961;1800;;22;19.8;;;80;956.3;0;0;;
83912;05/03/1961;0000;;22;20;23.2;;82;956.3;0;0;;
83912;05/03/1961;1200;2.5;18.6;17.6;;16.6;90;960.6;14;5;;
83912;05/03/1961;1800;;19;16;;;73;959.9;14;7;;
83912;06/03/1961;0000;;16.6;13.8;22.4;;73;963;14;7;;
83912;06/03/1961;1200;0.1;16.4;13.8;;13.6;74;966.4;14;5;;
83912;06/03/1961;1800;;20;15;;;57;964.8;14;7;;
83912;07/03/1961;0000;;15.2;14.2;24.6;;89;965;14;2;;
83912;07/03/1961;1200;0.5;16.8;14.4;;13.8;76;963.2;5;3;;
83912;07/03/1961;1800;;24;19;;;61;959.5;14;3;;
83912;08/03/1961;0000;;21.6;18;29.8;;70;958.8;0;0;;
83912;08/03/1961;1200;0;21.6;18.4;;17.8;72;958.3;5;3;;
83912;08/03/1961;1800;;28.8;21.8;;;53;954.6;32;3;;
83912;09/03/1961;0000;;25.8;20.8;32.4;;63;954.6;0;0;;
83912;09/03/1961;1200;0;24.8;21.6;;19.2;74;957.4;5;3;;
83912;09/03/1961;1800;;32.4;24;;;48;955.6;32;1;;
83912;10/03/1961;0000;;26.4;21.4;32;;63;957;0;0;;
83912;10/03/1961;1200;0;26.8;22.6;;20.8;68;959.6;5;1;;
83912;10/03/1961;1800;;32;23.2;;;46;957.5;32;3;;
83912;11/03/1961;0000;;27.4;22.2;28.6;;63;958;0;0;;
83912;11/03/1961;1200;36;20.2;19.4;;18.2;92;957.9;32;1;;
83912;11/03/1961;1800;;24;22.8;;;89;956.3;32;1;;
83912;12/03/1961;0000;;22;21;23.2;;91;955.8;0;0;;
83912;12/03/1961;1200;12.2;21;20;;19;91;954.6;5;2;;
83912;12/03/1961;1800;;20.8;20;;;93;951.8;0;0;;
83912;13/03/1961;0000;;20.6;19.8;23.4;;93;951.8;0;0;;
83912;13/03/1961;1200;54.2;19.2;18.4;;18.2;92;951.4;0;0;;
83912;13/03/1961;1800;;20;19;;;91;950.6;27;2;;
83912;14/03/1961;0000;;19.4;17;26.6;;78;952;23;1;;
83912;14/03/1961;1200;21.4;17.2;15.6;;15.2;84;957;0;0;;
83912;14/03/1961;1800;;25.8;18.2;;;45;956;0;0;;
83912;15/03/1961;0000;;21.8;16.6;30;;57;955.6;0;0;;
83912;15/03/1961;1200;0;16.4;14;;15.8;75;957.6;0;0;;
83912;15/03/1961;1800;;28.4;22.4;;;58;954.7;0;0;;
83912;16/03/1961;0000;;25;21;26.6;;69;954.7;0;0;;
83912;16/03/1961;1200;24.8;22.2;21.2;;18.2;91;951.4;0;0;;
83912;16/03/1961;1800;;21;20;;;91;949.9;0;0;;
83912;17/03/1961;0000;;18.2;17.2;19.2;;90;950;0;0;;
83912;17/03/1961;1200;77;13;12.2;;12;90;957.8;9;5;;
83912;17/03/1961;1800;;13;12.2;;;90;960.6;14;4;;
83912;18/03/1961;0000;;12;10.8;18;;86;961.9;14;3;;
83912;18/03/1961;1200;1.8;10;9.2;;8.6;89;965;0;0;;
83912;18/03/1961;1800;;17.6;13.8;;;64;963.4;14;5;;
83912;19/03/1961;0000;;15;12;23;;69;963.4;23;2;;
83912;19/03/1961;1200;0;13.4;12.4;;12.2;89;964.3;0;0;;
83912;19/03/1961;1800;;22;17;;;59;960.6;27;2;;
83912;20/03/1961;0000;;18.8;15.6;25;;71;959.4;14;3;;
83912;20/03/1961;1200;0;16.2;15;;14.4;87;959.5;5;1;;
83912;20/03/1961;1800;;22.8;19;;;69;957.8;5;2;;
83912;21/03/1961;0000;;21;18;26.2;;74;957.8;0;0;;
83912;21/03/1961;1200;15;15.4;14;;14;85;960.6;0;0;;
83912;21/03/1961;1800;;26.2;18.4;;;44;959.6;32;1;;
83912;22/03/1961;0000;;22.4;17.8;30;;62;960.4;0;0;;
83912;22/03/1961;1200;0;17.4;15;;15;76;962.6;5;2;;
83912;22/03/1961;1800;;29;19;;;36;961;32;1;;
83912;23/03/1961;0000;;24.6;17.4;32;;46;960.2;0;0;;
83912;23/03/1961;1200;0;20.6;15.2;;17.2;55;963;0;0;;
83912;23/03/1961;1800;;31.4;22;;;42;961.4;32;3;;
83912;24/03/1961;0000;;28.4;21.8;32.4;;55;959.9;0;0;;
83912;24/03/1961;1200;0;22;18;;19;67;960.7;5;1;;
83912;24/03/1961;1800;;32.2;23.6;;;47;958.3;32;3;;
83912;25/03/1961;0000;;27.2;21.4;27.5;;58;956.3;0;0;;
83912;25/03/1961;1200;0;20.6;18.4;;17.2;80;957.2;14;2;;
83912;25/03/1961;1800;;20.8;18.4;;;79;957.2;32;5;;
83912;26/03/1961;0000;;19.8;17.6;23;;80;958.6;0;0;;
83912;26/03/1961;1200;7;17.2;15.4;;15.4;82;963.5;14;3;;
83912;26/03/1961;1800;;22.4;17;;;57;965.4;14;3;;
83912;27/03/1961;0000;;19.2;15.4;23.4;;66;965.6;14;5;;
83912;27/03/1961;1200;0;13;11;;9.8;78;968.7;14;5;;
83912;27/03/1961;1800;;22.6;14.8;;;39;965.9;14;5;;
83912;28/03/1961;0000;;18.6;14;26;;58;965;14;2;;
83912;28/03/1961;1200;0;12.6;10.8;;10.6;80;967.4;9;3;;
83912;28/03/1961;1800;;24.6;18.4;;;53;965.4;5;5;;
